,floor_1_perimeter,floor_1_core,floor_2_perimeter,floor_2_core,floor_3_perimeter,floor_3_core,floor_1_plenum,floor_2_plenum,floor_3_plenum
1494,16.156893788244858,19.872921045212454,15.960450420985628,19.41897496150747,15.956469110596009,18.329006142838864,18.159478696128055,17.768564732956353,15.18976799624384
1495,16.147776099084027,19.69189967408084,15.98466188400809,19.218946155622525,15.989135662105005,18.151973664415948,18.0023589389906,17.616056730377533,15.113837458906213
1496,17.03624884191323,19.952600233014092,16.684230009930495,19.452929930981934,16.182433723971176,18.404481731732076,17.912970055659834,17.52692009832947,15.226855286470654
1497,18.14840143302333,20.09461997956621,17.731788596755372,19.538804232275382,17.013442503874984,18.463437422174184,17.948716457900417,17.525917861559567,15.520477407631441
1498,19.22212329167984,20.265255562209003,18.760141553490904,19.655627385999455,18.01668414422656,18.587004737988007,18.054626757909922,17.59664897524771,15.92495134602285
1499,19.95364782073214,20.45541979181905,19.453486164577487,19.79790544689633,18.736588627026602,18.774582973440964,18.174948141919394,17.69629254782308,16.220895366345346
1500,20.077182379196596,20.25282217958386,19.545918495157963,19.555435353856645,18.85916524938073,18.57743003018416,18.273000274332666,17.784264891310308,16.270205310253992
1501,20.22281524803926,20.22615900611093,19.667089670434287,19.49672411025531,18.986506400190763,18.533075595634745,18.312447615728715,17.817087670290316,16.3368692290511
1502,19.64111694219439,20.22329293876554,19.065807417265074,19.46760226211301,18.390573486300543,18.516945967240478,18.28286984296596,17.777795463988628,16.167214446188698
1503,18.675703070004253,20.12959699992949,18.083124445816726,19.350392159002386,17.394524632549576,18.388819887253398,18.17767996504331,17.66232463922897,15.885278528735515
1504,17.725117211148916,19.948073789460995,17.115684626414993,19.145842483041886,16.401388182953845,18.157665878430013,18.00771173999301,17.478723083881476,15.594956839695282
1505,16.988935827104136,19.55993996969357,16.360979003205355,18.732633928965132,15.921638378222902,17.71827710043912,17.797047699800274,17.251282881895545,15.375791150184225
1506,16.477008846242068,19.281287477827522,15.96424493456116,18.425068220587903,15.872626000352104,17.43619129658117,17.55704033968261,17.01404936964766,15.174659241560795
1507,16.209635612937017,19.311334363674934,15.929603194041837,18.423650117634224,15.91417785730496,17.470305372830246,17.3212385394567,16.798280102967794,14.951235865959033
1508,15.9836680905704,19.208424809540546,15.920409177773966,18.320658020680415,15.921523447569639,17.389019520473937,17.15016111682825,16.63829548223264,14.741129390747743
1509,15.926625775713456,19.082630071844306,15.911959017083458,18.200768512257582,15.91486905978491,17.274217196895005,16.981062178822317,16.47559783852418,14.50698824121746
1510,15.91625797086099,18.971714729281747,15.912073317408359,18.076882264122922,15.913579113795764,17.145351974600718,16.815675917451657,16.314374926417827,14.260093251344289
1511,15.9197817439777,18.87267949289644,15.916814729978048,17.95399380545978,15.916607421610324,17.011218460737332,16.649938048607126,16.151167435176028,14.0332764276366
1512,15.927903394199204,18.780446257940618,15.924230997643708,17.832524096941675,15.923381737237735,16.878725715397337,16.48777581554571,15.990073455994223,13.831644735721662
1513,15.92993389582404,18.69302560813905,15.92538195274519,17.71291295368767,15.924662565285537,16.750727266962386,16.326824896164815,15.829315583184195,13.61621972476014
1514,15.955133022956849,18.608138611998953,15.949857510131933,17.593943918663165,15.948754279695647,16.62158851446683,16.20195768096728,15.704120983273901,13.454134561434513
1515,15.968067175767192,18.53363671766145,15.96228816786407,17.48429293305745,15.961218138171594,16.503127115010603,16.091098234738404,15.592024159593645,13.306402711474055
1516,15.976786518539198,18.46456047956848,15.970718330989703,17.37971418026567,15.96961349011537,16.38992709927914,15.988653810106943,15.487718043288229,13.179971735470618
1517,15.976650735772417,18.39961591770483,15.970451039018185,17.279356874971086,15.969553781493552,16.28257918638984,15.889686014736052,15.386239461828849,13.035066491516913
1518,15.969812716652664,18.174039998859435,15.963806028687578,17.04161057795884,15.962477195996309,16.055160575829987,15.802954549819674,15.296548183748586,12.926093390324848
1519,16.059624478995957,18.070058278380714,16.054470546249878,16.910707410521027,16.053963164815215,15.9799230324072,15.712856370430595,15.204796051260983,12.906653466057339
1520,16.319843595235767,18.420480016945582,16.314716810868195,17.231076827385813,16.31806657200427,16.26947999868239,15.733000375550017,15.228166180092286,13.163213788744752
1521,17.320635624521422,18.575298858874884,16.60789133006502,17.35708367475086,16.3576007136544,16.420680183176547,15.852371954260578,15.343935174971495,13.576234159819109
1522,18.205212033384313,18.78681096151715,17.31093646750681,17.455693401875944,16.763520264117957,16.539409263764203,15.98524369157864,15.455708241205015,14.021560022256994
1523,18.630470176969695,19.009351329322993,17.654960046181344,17.602453913996445,17.075300064230728,16.705293293175334,16.12998490345555,15.565503095016489,14.186397618497837
1524,18.849345315905403,18.820933913010567,17.82110341515133,17.360818162075027,17.23573749682816,16.47543877013947,16.29486058039427,15.70662385527509,14.41245139446135
1525,19.181255804414054,18.834926750669933,18.114720648325942,17.336073002123946,17.532650897642114,16.467564863561442,16.39068326478521,15.782195181197583,14.73665559751202
1526,19.395859294503634,18.91735233838878,18.29994277985294,17.388937048774576,17.74382380547802,16.563366997140463,16.487788528719395,15.861283246053185,14.676323356213226
1527,19.149245735326886,18.99349493917207,18.030018098980023,17.4416888112599,17.46622006871363,16.615639492451567,16.556654803035293,15.917414314107532,14.570013314554473
1528,18.312424162743163,19.003349087747004,17.174855306991493,17.433259361230025,16.58701748294263,16.58588094759346,16.564671285985256,15.908550259429173,14.40668116486257
1529,16.93349254229525,18.721499056539965,15.954470534622661,17.135539957944285,15.826368951169554,16.257969713893047,16.414621836940615,15.73796268348087,14.075174975673722
