,year,month,day,hour,outdoor_temperature,heat_transfer_window ,heat_transfer_wall,heat_transfer_infiltration,heat_transfer_natural_vent,heating_load,cooling_load,lighting_energy,equipment_energy,heat_energy,cool_energy,DHW_energy,pump_energy,fan_energy,total_electricity,total_district_cooling,total_district_heating,SWH_production,PV_production,wind_production,occupants
7475,1998,11,8,12,9.0,469113526.2765712,237628936.88198185,693873653.7600001,0.0,4482079033.243672,2303727258.9469543,1565051351.04,7604504755.199999,8672514960.92283,4902946410.422666,1504629181.2949648,130457878.0830862,274669943.8695298,9574683928.192614,4902946410.422666,10177144142.217796,0.0,0.0,0.0,1532.1359999999997
7476,1998,11,8,13,9.0,522790815.5922484,281244375.76018435,693873653.7600001,0.0,4488115286.914775,2298975624.0951514,1582701557.76,7692755788.799999,8679443565.579199,4892833433.961881,1108674133.5857637,130457878.0830862,274669943.8695298,9680585168.512615,4892833433.961881,9788117699.164963,0.0,0.0,0.0,1128.9423157894737
7477,1998,11,8,14,9.0,361351168.062231,228003358.38214546,693873653.7600001,0.0,4389370895.847897,2361793628.2165465,1600351764.48,7781006822.4,8557020919.127414,5026550497.916687,1504629181.2949648,130457878.0830862,274669943.8695298,9786486408.832615,5026550497.916687,10061650100.422379,0.0,0.0,0.0,1532.1359999999997
7478,1998,11,8,15,9.0,103174063.64095047,30122810.216529783,693873653.7600001,0.0,4339104956.567762,2381784812.6865544,1600351764.48,7781006822.4,8487437367.02924,5069113239.030591,1504629181.2949648,130457878.0830862,274669943.8695298,9786486408.832615,5069113239.030591,9992066548.324203,0.0,0.0,0.0,1532.1359999999997
7479,1998,11,8,16,9.0,199076552.30635676,119233714.92779362,693873653.7600001,0.0,4344125994.858146,2384774511.8158193,1600351764.48,7781006822.4,8497406419.022605,5075473997.715234,1504629181.2949648,130457878.0830862,274669943.8695298,9786486408.832615,5075473997.715234,10002035600.31757,0.0,0.0,0.0,1532.1359999999997
7480,1998,11,8,17,9.0,-9793645.808764745,-37409185.22939508,693873653.7600001,0.0,4304354800.025704,2400810244.7771754,1600351764.48,7781006822.4,8442484626.362458,5109614547.716051,1504629181.2949648,130457878.0830862,274669943.8695298,9786486408.832615,5109614547.716051,9947113807.657423,0.0,0.0,0.0,1532.1359999999997
7481,1998,11,8,18,9.0,-19202974.4378192,-43980505.65500894,693873653.7600001,0.0,4550153077.5922985,2210065451.130981,1441499904.0,6986747520.0,8726398916.360762,4703609249.698791,1108674133.5857637,130457878.0830862,274669943.8695298,8833375245.952616,4703609249.698791,9835073049.946526,0.0,0.0,0.0,1128.9423157894737
7482,1998,11,8,19,9.0,-14839096.948038489,-33985932.19772827,693873653.7600001,0.0,4630739248.474644,2148380127.1258407,1406199490.56,6810245452.8,8819998033.4692,4572309733.429061,791910095.4184026,130457878.0830862,274669943.8695298,8621572765.312616,4572309733.429061,9611908128.887602,0.0,0.0,0.0,806.3873684210527
7483,1998,11,8,20,8.0,-18712002.00779239,-42856033.203870274,693873653.7600001,0.0,5275574790.991773,2115839170.2697282,1406199490.56,6810245452.8,9847586201.990398,4503025827.4686575,791910095.4184026,130457878.0830862,274669943.8695298,8621572765.312616,4503025827.4686575,10639496297.4088,0.0,0.0,0.0,806.3873684210527
7484,1998,11,8,21,8.0,-14969601.606233915,-34284826.56309622,693873653.7600001,0.0,5303642754.595111,2094734425.4594624,1388549283.8400002,6721994419.199999,9880418504.335705,4458102817.826718,791910095.4184026,130457878.0830862,274669943.8695298,8515671524.992615,4458102817.826718,10672328599.754107,0.0,0.0,0.0,806.3873684210527
